Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Fence,Path,Path,Visitor,Path,Fence,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass
Grass,Grass,Grass,Grass,Grass,Grass,Forest,Forest,Forest,Forest,Grass,Grass,Grass,Grass,Fence,Path,Visitor,Path,Path,Fence,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass
Grass,Grass,Grass,Grass,Grass,Grass,Grass,Forest,Forest,Forest,Forest,Forest,Forest,Grass,Fence,Path,Path,Ranger,Path,Fence,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass
Grass,Grass,Grass,Grass,Grass,Grass,Forest,Forest,Forest,Forest,Forest,Brachiosaurus,Forest,Grass,Fence,Path,Visitor,Path,Path,Fence,Grass,Grass,Grass,Grass,Grass,Trex,Grass,Grass,Grass,Grass
Grass,Grass,Grass,Grass,Grass,Grass,Grass,Forest,Forest,Forest,Forest,Forest,Grass,Grass,Fence,Path,Path,Visitor,Path,Fence,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass
Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Forest,Forest,Forest,Forest,Forest,Grass,Fence,Path,Visitor,Path,Path,Fence,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass
Grass,Grass,Grass,Grass,Brachiosaurus,Grass,Grass,Grass,Forest,Forest,Forest,Forest,Grass,Grass,Fence,Path,Ranger,Path,Path,Fence,Grass,Forest,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass
Grass,Grass,Grass,Forest,Forest,Forest,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Fence,Path,Visitor,Path,Path,Fence,Grass,Grass,Forest,Forest,Grass,Grass,Grass,Grass,Grass,Grass
Grass,Grass,Forest,Forest,Forest,Forest,Forest,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Fence,Path,Ranger,Path,Path,Fence,Grass,Forest,Forest,Grass,Grass,Grass,Grass,Grass,Grass,Grass
Grass,Grass,Grass,Forest,Forest,Forest,Forest,Grass,Grass,Water,Water,Grass,Grass,Grass,Fence,Path,Visitor,Path,Path,Fence,Grass,Forest,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass
Grass,Grass,Grass,Forest,Forest,Grass,Grass,Grass,Water,Water,Water,Water,Water,Grass,Fence,Path,Ranger,Path,Path,Fence,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass
Grass,Grass,Grass,Grass,Grass,Grass,Water,Water,Water,Water,Water,Water,Water,Water,Fence,Path,Visitor,Path,Path,Fence,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass,Grass
